#ice-age (yr b1950)	R
25867.3	0.565394968
25922.76667	0.565394968
25978.23333	0.565394968
26033.7	0.558532447
26089.9	0.558532447
26146.1	0.558532447
26202.3	0.573730113
26257.03333	0.573730113
26311.76667	0.573730113
26366.5	0.569453187
26421.7	0.569453187
26476.9	0.569453187
26532.1	0.556705033
26588.6	0.556705033
26645.1	0.556705033
26701.6	0.567441088
26757.06667	0.567441088
26812.53333	0.567441088
26868	0.566857871
26923.56667	0.566857871
26979.13333	0.566857871
27034.7	0.560272378
27090.93333	0.560272378
27147.16667	0.560272378
27203.4	0.566230913
27259.13333	0.566230913
27314.86667	0.566230913
27370.6	0.562653848
27426.7	0.562653848
27482.8	0.562653848
27538.9	0.588364002
27592.6	0.588364002
27646.3	0.588364002
27700	0.650107254
27748.6	0.650107254
27797.2	0.650107254
27845.8	0.611503141
27897.5	0.611503141
27949.2	0.611503141
28000.9	0.607444922
28052.96667	0.607444922
28105.03333	0.607444922
28157.1	0.65440362
28205.46667	0.65440362
28253.83333	0.65440362
28302.2	0.633718853
28352.13333	0.633718853
28402.06667	0.633718853
28452	0.592077151
28505.56667	0.592077151
28559.13333	0.592077151
28612.7	0.599955442
28665.56667	0.599955442
28718.43333	0.599955442
28771.3	0.661951421
28819.23333	0.661951421
28867.16667	0.661951421
28915.1	0.676274261
28962.03333	0.676274261
29008.96667	0.676274261
29055.9	0.64488746
29105.16667	0.64488746
29154.43333	0.64488746
29203.7	0.640523052
29253.3	0.640523052
29302.9	0.640523052
29352.5	0.669474922
29399.96667	0.669474922
29447.43333	0.669474922
29494.9	0.689829199
29541	0.689829199
29587.1	0.689829199
29633.2	0.713566135
29677.83333	0.713566135
29722.46667	0.713566135
29767.1	0.69533088
29812.93333	0.69533088
29858.76667	0.69533088
29904.6	0.679865907
29951.53333	0.679865907
29998.46667	0.679865907
30045.4	0.704059697
30090.73333	0.704059697
30136.06667	0.704059697
30181.4	0.650039212
30230.53333	0.650039212
30279.66667	0.650039212
30328.8	0.616436186
30380.66667	0.616436186
30432.53333	0.616436186
30484.4	0.624853953
30535.6	0.624853953
