#depth (m)	ice-age (yr b1950)	origin	thinning
301.4	9.75837	NaN	NaN
301.95	9.7768	NaN	NaN
302.5	9.794956667	NaN	NaN
303.05	9.813113333	NaN	NaN
303.6	9.83127	NaN	NaN
304.15	9.848906667	NaN	NaN
304.7	9.866543333	NaN	NaN
305.25	9.88418	NaN	NaN
305.8	9.904296667	NaN	NaN
306.35	9.924413333	NaN	NaN
306.9	9.94453	NaN	NaN
307.45	9.963553333	NaN	NaN
308	9.982576667	NaN	NaN
308.55	10.0016	NaN	NaN
309.1	10.02083333	NaN	NaN
309.65	10.04006667	NaN	NaN
310.2	10.0593	NaN	NaN
310.75	10.07833333	NaN	NaN
311.3	10.09736667	NaN	NaN
311.85	10.1164	NaN	NaN
312.4	10.13483333	NaN	NaN
312.95	10.15326667	NaN	NaN
313.5	10.1717	NaN	NaN
314.05	10.19016667	NaN	NaN
314.6	10.20863333	NaN	NaN
315.15	10.2271	NaN	NaN
315.7	10.2453	NaN	NaN
316.25	10.2635	NaN	NaN
316.8	10.2817	NaN	NaN
317.35	10.30046667	NaN	NaN
317.9	10.31923333	NaN	NaN
318.45	10.338	NaN	NaN
319	10.35736667	NaN	NaN
319.55	10.37673333	NaN	NaN
320.1	10.3961	NaN	NaN
320.65	10.4149	NaN	NaN
321.2	10.4337	NaN	NaN
321.75	10.4525	NaN	NaN
322.3	10.4722	NaN	NaN
322.85	10.4919	NaN	NaN
323.4	10.5116	NaN	NaN
323.95	10.53156667	NaN	NaN
324.5	10.55153333	NaN	NaN
325.05	10.5715	NaN	NaN
325.6	10.5892	NaN	NaN
326.15	10.6069	NaN	NaN
326.7	10.6246	NaN	NaN
327.25	10.64163333	NaN	NaN
327.8	10.65866667	NaN	NaN
328.35	10.6757	NaN	NaN
328.9	10.6953	NaN	NaN
329.45	10.7149	NaN	NaN
330	10.7345	NaN	NaN
330.55	10.7539	NaN	NaN
331.1	10.7733	NaN	NaN
331.65	10.7927	NaN	NaN
332.2	10.81163333	NaN	NaN
332.75	10.83056667	NaN	NaN
333.3	10.8495	NaN	NaN
333.85	10.8695	NaN	NaN
334.4	10.8895	NaN	NaN
334.95	10.9095	NaN	NaN
335.5	10.9288	NaN	NaN
336.05	10.9481	NaN	NaN
336.6	10.9674	NaN	NaN
337.15	10.9866	NaN	NaN
337.7	11.0058	NaN	NaN
338.25	11.025	NaN	NaN
338.8	11.04443333	NaN	NaN
339.35	11.06386667	NaN	NaN
